block_id,k_i,s_i_star,alpha,pi_i_star,d_i_hat,sigma_BB_i_hat,n_i_uniform,n_i_uniform_ceil,n_i_bernoulli,n_i_bernoulli_ceil,status
0,10,5,0.05,0.0009765625,-0.0007708685541277363,8.823104326702014e-05,,,,,invalid_non_positive_d
1,7,3,0.05,0.0078125,0.00957901787472443,0.015581447655013394,1323.1407532220308,1324,1323.1407532220308,1324,ok
2,7,3,0.05,0.0078125,-0.0006567542128239764,7.838297812413267e-05,,,,,invalid_non_positive_d
3,4,2,0.05,0.0625,0.07318725502089311,0.09021220997095548,125.3311720586735,126,125.3311720586735,126,ok
4,9,4,0.05,0.001953125,0.1408928115697926,0.12289156921496679,2838.0005162515627,2839,2838.0005162515627,2839,ok
5,6,3,0.05,0.015625,0.06961665064785824,0.10716679676629728,626.089404091537,627,626.089404091537,627,ok
6,8,4,0.05,0.00390625,-0.0013579449398784585,0.003935202505470419,,,,,invalid_non_positive_d
7,6,3,0.05,0.015625,0.04479882137110444,0.08937554437288422,811.4118407064619,812,811.4118407064619,812,ok
8,7,3,0.05,0.0078125,0.08203832887194885,0.06773576067100225,671.6150690052234,672,671.6150690052234,672,ok
